"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"NYSE Alternext Paris";"EUR";"46,56";"46,99";"46,56";"46,99";"01/11/2013 17:35";"CET";"989";"46276,61"
"1NOMIJ";"NL0010070777";"1NOMY";"NYSE Euronext Amsterdam";"EUR";"0,21";"0,21";"0,21";"0,21";"01/11/2013 16:30";"CET";"251";"52,71"
"3I GROUP";"GB00B1YW4409";"IIIl";"NYSE Arca Europe";"GBX";"367,20";"367,20";"367,20";"367,20";"21/08/2013 15:55";"CET";"216";"79315,20"
"3I INFRASTRUCTURE";"JE00B1RJLF86";"3INl";"NYSE Arca Europe";"GBX";"139,00";"139,00";"139,00";"139,00";"12/08/2013 10:56";"CET";"100";"13900,00"
"3M";"US88579Y1010";"MMMn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"4ENERGY INV (D)";"BE0003888089";"ENIN";"NYSE Euronext Brussels";"EUR";"0,19";"0,19";"0,18";"0,18";"01/11/2013 11:19";"CET";"81728";"14821,04"
"888 HOLDINGS";"GI000A0F6407";"888l";"NYSE Arca Europe";"GBX";"141,20";"141,20";"141,20";"141,20";"30/08/2013 13:38";"CET";"100";"14120,00"
"A ET CO";"FR0000075160";"MLACO";"Marché Libre Paris";"EUR";"7,49";"7,49";"7,49";"7,49";"18/10/2013 15:00";"CET";"3";"22,47"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Marché Libre Paris";"EUR";"5,69";"5,69";"5,69";"5,69";"01/11/2013 15:00";"CET";"100";"569,00"
"A.B FOODS";"GB0006731235";"ABFl";"NYSE Arca Europe";"GBX";"1844,00";"1844,00";"1844,00";"1844,00";"29/08/2013 11:46";"CET";"265";"488660,00"
"A.S.T. GROUPE";"FR0000076887";"ASP";"NYSE Euronext Paris";"EUR";"2,60";"2,60";"2,49";"2,49";"01/11/2013 16:20";"CET";"681";"1706,80"
"A2A";"IT0001233417";"A2Am";"NYSE Arca Europe";"EUR";"0,557";"0,557";"0,557";"0,557";"22/04/2013 16:15";"CET";"1000";"557,00"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"NYSE Alternext Paris";"EUR";"7,80";"7,80";"7,80";"7,80";"01/11/2013 12:25";"CET";"371";"2893,80"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"NYSE Euronext Amsterdam";"EUR";"22,065";"22,15";"21,915";"22,02";"01/11/2013 17:35";"CET";"86172";"1896124,06"
"AAREAL BANK";"DE0005408116";"ARLd";"NYSE Arca Europe";"EUR";"17,79";"17,79";"17,79";"17,79";"07/03/2013 15:02";"CET";"50";"889,50"
"AAREAL BKCAP FD TR";"XS0138973010";"DEPCF";"NYSE Euronext Amsterdam";"EUR";"24,80";"24,80";"24,71";"24,75";"31/10/2013 16:15";"CET";"6880";"170370,99"
"AB INBEV";"BE0003793107";"ABI";"NYSE Euronext Brussels";"EUR";"76,54";"76,54";"75,37";"75,59";"01/11/2013 17:35";"CET";"939701";"71178882,59"
"AB SCIENCE";"FR0010557264";"AB";"NYSE Euronext Paris";"EUR";"17,50";"17,68";"17,34";"17,40";"01/11/2013 17:35";"CET";"46370";"812762,65"
"ABB N";"CH0012221716";"ABBNz";"NYSE Arca Europe";"CHF";"20,08";"20,14";"20,08";"20,14";"29/08/2013 16:39";"CET";"2981";"59916,34"
"ABBOTT LABS";"US0028241000";"ABTn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ABBVIE";"US00287Y1091";"ABBV";"NYSE Euronext Paris";"EUR";"41,00";"41,00";"35,55";"35,55";"30/10/2013 12:39";"CET";"40";"1531,00"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"NYSE Euronext Paris";"EUR";"5,03";"5,07";"4,95";"5,06";"01/11/2013 17:35";"CET";"27623";"138877,66"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Marché Libre Paris";"EUR";"0,30";"0,30";"0,30";"0,30";"03/10/2013 15:00";"CET";"1";"0,30"
"ABENGOA CL.A";"ES0105200416";"ABGe";"NYSE Arca Europe";"EUR";"10,44";"10,44";"10,44";"10,44";"30/07/2012 10:36";"CET";"60";"626,40"
"ABENGOA CL.B";"ES0105200002";"ABGPe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ABERDEEN ASSET MGT";"GB0000031285";"ADNl";"NYSE Arca Europe";"GBX";"352,50";"353,80";"352,50";"353,80";"30/08/2013 15:06";"CET";"300";"106010,00"
"ABERDEEN UK TRACKE";"GB0005596985";"EUKl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"ABERFORTH SMLR COS";"GB0000066554";"ASLl";"NYSE Arca Europe";"GBX";"938,00";"939,00";"938,00";"939,00";"12/08/2013 14:37";"CET";"203";"190517,00"
"ABERTIS INFRAESTR.";"ES0111845014";"ABEe";"NYSE Arca Europe";"EUR";"13,665";"13,665";"13,665";"13,665";"05/09/2013 12:54";"CET";"366";"5001,39"
"ABLYNX (D)";"BE0003877942";"ABLX";"NYSE Euronext Brussels";"EUR";"7,26";"7,29";"7,21";"7,27";"01/11/2013 17:35";"CET";"57013";"413195,70"
"ACANTHE DEV.";"FR0000064602";"ACAN";"NYSE Euronext Paris";"EUR";"0,43";"0,44";"0,43";"0,44";"01/11/2013 15:32";"CET";"13203";"5807,32"
"ACCELL GROUP";"NL0009767532";"ACCEL";"NYSE Euronext Amsterdam";"EUR";"14,995";"15,02";"14,855";"14,95";"01/11/2013 17:35";"CET";"10984";"164127,79"
"ACCENTIS";"BE0003696102";"ACCB";"NYSE Euronext Brussels";"EUR";"0,01";"0,01";"0,01";"0,01";"01/11/2013 11:48";"CET";"210000";"2100,00"
"ACCENTURE";"IE00B4BNMY34";"ACNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCES INDUSTRIE";"FR0010567032";"ALACI";"NYSE Alternext Paris";"EUR";"2,20";"2,20";"2,20";"2,20";"01/11/2013 17:23";"CET";"4";"8,80"
"ACCIONA";"ES0125220311";"ANAe";"NYSE Arca Europe";"EUR";"75,30";"75,30";"75,30";"75,30";"18/05/2011 09:05";"CET";"15";"-"
"ACCOR";"FR0000120404";"AC";"NYSE Euronext Paris";"EUR";"33,185";"33,40";"32,755";"33,18";"01/11/2013 17:35";"CET";"461469";"15289483,45"
"ACCSYS";"GB00B0LMC530";"AXS";"NYSE Euronext Amsterdam";"EUR";"0,14";"0,15";"0,14";"0,15";"01/11/2013 16:38";"CET";"38000";"5490,00"
"ACEA";"IT0001207098";"ACEm";"NYSE Arca Europe";"EUR";"4,77";"4,77";"4,77";"4,77";"30/03/2012 16:19";"CET";"254";"1211,58"
"ACEP FRANCE";"FR0010762740";"MLACP";"Marché Libre Paris";"EUR";"1,52";"1,52";"1,52";"1,52";"29/10/2013 15:00";"CET";"3";"4,56"
"ACERINOX";"ES0132105018";"ACXe";"NYSE Arca Europe";"EUR";"13,20";"13,20";"13,20";"13,20";"18/04/2011 15:03";"CET";"80";"-"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"NYSE Alternext Paris";"EUR";"0,24";"0,27";"0,24";"0,26";"01/11/2013 17:24";"CET";"1629421";"419053,54"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"NYSE Euronext Brussels";"EUR";"79,71";"79,74";"79,19";"79,61";"01/11/2013 17:35";"CET";"8343";"663287,65"
"ACROPOLIS TELECOM";"FR0010678284";"ALACR";"NYSE Alternext Paris";"EUR";"2,23";"2,23";"2,23";"2,23";"31/10/2013 15:30";"CET";"20";"44,60"
"ACS";"ES0167050915";"ACSe";"NYSE Arca Europe";"EUR";"14,21";"14,21";"14,21";"14,21";"27/04/2012 14:29";"CET";"129";"1833,09"
"ACTELION N";"CH0010532478";"ATLNz";"NYSE Arca Europe";"CHF";"70,90";"71,85";"70,75";"71,55";"01/11/2013 15:56";"CET";"10132";"721886,60"
"ACTEOS";"FR0000076861";"EOS";"NYSE Euronext Paris";"EUR";"2,07";"2,15";"2,07";"2,10";"01/11/2013 14:29";"CET";"2265";"4694,93"
"ACTIA GROUP";"FR0000076655";"ATI";"NYSE Euronext Paris";"EUR";"1,72";"1,72";"1,68";"1,68";"01/11/2013 17:28";"CET";"22681";"38611,00"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Marché Libre Paris";"EUR";"5,00";"5,00";"5,00";"5,00";"25/10/2013 15:00";"CET";"1";"5,00"
"ADA";"FR0000053076";"ALADA";"NYSE Alternext Paris";"EUR";"6,86";"6,86";"6,86";"6,86";"01/11/2013 09:00";"CET";"1";"6,86"
"ADC SIIC";"BE0974269012";"ALDV";"NYSE Euronext Paris";"EUR";"0,11";"0,11";"0,11";"0,11";"01/11/2013 11:30";"CET";"17462";"1920,82"
"ADCIICI122014";"BE0974270028";"DVBSI";"NYSE Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ADECCO";"CH0012138605";"ADENz";"NYSE Arca Europe";"CHF";"67,00";"67,00";"66,85";"66,90";"01/11/2013 12:38";"CET";"818";"54723,70"
"ADIDAS";"DE000A1EWWW0";"ADSd";"NYSE Arca Europe";"EUR";"82,81";"82,81";"82,81";"82,81";"20/08/2013 11:08";"CET";"7";"579,67"
"ADL PARTNER";"FR0000062978";"ALP";"NYSE Euronext Paris";"EUR";"11,50";"11,50";"11,40";"11,40";"01/11/2013 12:00";"CET";"626";"7159,00"
"ADMIRAL GROUP";"GB00B02J6398";"ADMl";"NYSE Arca Europe";"GBX";"1239,00";"1239,00";"1239,00";"1239,00";"28/10/2013 16:35";"CET";"145";"179655,00"
"ADOCIA";"FR0011184241";"ADOC";"NYSE Euronext Paris";"EUR";"5,19";"5,36";"5,16";"5,36";"01/11/2013 17:18";"CET";"3311";"17166,79"
"ADOMOS";"FR0000044752";"ALADO";"NYSE Alternext Paris";"EUR";"0,05";"0,05";"0,04";"0,05";"01/11/2013 17:36";"CET";"420341";"20963,75"
"ADOMOS BS";"FR0011524578";"ALABS";"NYSE Alternext Paris";"EUR";"0,02";"0,02";"0,02";"0,02";"29/10/2013 15:33";"CET";"10000";"200,00"
"ADP";"FR0010340141";"ADP";"NYSE Euronext Paris";"EUR";"78,82";"79,50";"78,71";"79,19";"01/11/2013 17:35";"CET";"14566";"1153271,72"
"ADTHINK MEDIA";"FR0010457531";"ALADM";"NYSE Alternext Paris";"EUR";"3,74";"4,25";"3,74";"3,88";"01/11/2013 17:23";"CET";"28316";"113630,09"
"ADVINI";"FR0000053043";"ADVI";"NYSE Euronext Paris";"EUR";"31,07";"31,80";"31,07";"31,80";"01/11/2013 11:44";"CET";"101";"3201,07"
"AEDIFICA";"BE0003851681";"AED";"NYSE Euronext Brussels";"EUR";"50,58";"50,58";"50,10";"50,10";"01/11/2013 17:35";"CET";"2666";"133954,91"
"AEGON";"NL0000303709";"AGN";"NYSE Euronext Amsterdam";"EUR";"5,866";"5,893";"5,768";"5,802";"01/11/2013 17:35";"CET";"8896016";"51657276,46"
"AER LINGUS";"IE00B1CMPN86";"EIL1i";"NYSE Arca Europe";"EUR";"1,086";"1,086";"1,08";"1,08";"30/08/2012 13:42";"CET";"2000";"11940,00"
"AEROPORTO DI VENEZ";"IT0001490736";"SAVEm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AFFINE R.E.";"FR0000036105";"IML";"NYSE Euronext Paris";"EUR";"14,25";"14,30";"13,90";"14,00";"01/11/2013 17:35";"CET";"19845";"278883,82"
"AFONE";"FR0000044612";"AFO";"NYSE Euronext Paris";"EUR";"6,10";"6,10";"6,10";"6,10";"01/11/2013 12:29";"CET";"410";"2501,00"
"AFREN";"GB00B0672758";"AFRl";"NYSE Arca Europe";"GBX";"144,20";"144,20";"144,20";"144,20";"23/08/2013 09:10";"CET";"100";"14420,00"
"AFRICAN BARRICK GO";"GB00B61D2N63";"ABGl";"NYSE Arca Europe";"GBX";"157,30";"157,40";"157,30";"157,40";"19/08/2013 16:36";"CET";"1021";"160700,30"
"AFRIQUE TELECOM";"FR0011233659";"MLAFT";"Marché Libre Paris";"EUR";"7,11";"7,11";"7,11";"7,11";"01/10/2013 15:05";"CET";"1";"7,11"
"AGEAS";"BE0974264930";"AGS";"NYSE Euronext Brussels";"EUR";"31,40";"31,40";"31,12";"31,16";"01/11/2013 17:35";"CET";"206513";"6447579,74"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"NYSE Euronext Brussels";"EUR";"1,75";"1,75";"1,73";"1,73";"01/11/2013 17:36";"CET";"13913";"24118,55"
"AGFEED";"US00846L1017";"ALHOG";"NYSE Alternext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AGGREKO";"GB00B4WQ2Z29";"AGKl";"NYSE Arca Europe";"GBX";"1600,00";"1600,00";"1600,00";"1600,00";"09/09/2013 14:11";"CET";"200";"320000,00"
"AGRICOLE CRAU";"FR0000062176";"AGCR";"NYSE Euronext Paris";"EUR";"101,45";"101,45";"101,45";"101,45";"25/09/2013 16:30";"CET";"21";"2130,45"
"AGRIVOLT";"FR0010650622";"MLAGR";"Marché Libre Paris";"EUR";"1,91";"1,91";"1,91";"1,91";"31/10/2013 15:00";"CET";"51";"97,41"
"AGROGENERATION";"FR0010641449";"ALAGR";"NYSE Alternext Paris";"EUR";"1,38";"1,38";"1,36";"1,38";"01/11/2013 17:35";"CET";"6391";"8754,18"
"AGTA RECORD";"CH0008853209";"AGTA";"NYSE Euronext Paris";"EUR";"27,95";"28,00";"27,95";"28,00";"01/11/2013 17:00";"CET";"23";"643,95"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Easynext Lisbon";"EUR";"1,47";"1,47";"1,47";"1,47";"25/07/2013 09:30";"GMT";"32";"47,04"
"AHOLD KON";"NL0006033250";"AH";"NYSE Euronext Amsterdam";"EUR";"14,005";"14,055";"13,985";"14,00";"01/11/2013 17:35";"CET";"2080807";"29143431,90"
"AIR FRANCE -KLM";"FR0000031122";"AF";"NYSE Euronext Paris,Amsterdam";"EUR";"7,631";"7,65";"7,401";"7,417";"01/11/2013 17:38";"CET";"5333938";"39827119,74"
"AIR LIQUIDE";"FR0000120073";"AI";"NYSE Euronext Paris";"EUR";"100,50";"100,60";"99,58";"100,05";"01/11/2013 17:35";"CET";"344846";"34463269,93"
"AIRKIT";"BE0949062146";"MLAIR";"Marché Libre Paris";"EUR";"6,60";"6,60";"6,60";"6,60";"12/10/2010 15:00";"CET";"20";"-"
"AJAX";"NL0000018034";"AJAX";"NYSE Euronext Amsterdam";"EUR";"7,949";"7,949";"7,76";"7,76";"01/11/2013 13:37";"CET";"25";"194,95"
"AKD";"FR0011034750";"MLAKD";"Marché Libre Paris";"EUR";"0,40";"0,40";"0,40";"0,40";"01/11/2013 15:00";"CET";"2000";"800,00"
"AKER SOLUTIONS";"NO0010215684";"AKSOo";"NYSE Arca Europe";"NOK";"122,90";"122,90";"122,90";"122,90";"29/01/2013 10:33";"CET";"93";"11429,70"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"NYSE Euronext Paris";"EUR";"22,10";"22,10";"21,65";"22,01";"01/11/2013 17:35";"CET";"8832";"194048,13"
"AKZO NOBEL";"NL0000009132";"AKZA";"NYSE Euronext Amsterdam";"EUR";"53,50";"53,50";"52,69";"52,88";"01/11/2013 17:36";"CET";"589091";"31211203,05"
"ALBA";"ES0117160111";"ALBe";"NYSE Arca Europe";"EUR";"37,16";"37,16";"37,16";"37,16";"29/07/2011 16:59";"CET";"42";"-"
"ALBIOMA";"FR0000060402";"ABIO";"NYSE Euronext Paris";"EUR";"18,00";"18,08";"17,95";"18,05";"01/11/2013 17:35";"CET";"16515";"297442,12"
"ALCATEL-LUCENT";"FR0000130007";"ALU";"NYSE Euronext Paris";"EUR";"2,86";"2,993";"2,823";"2,969";"01/11/2013 17:36";"CET";"55472382";"162121777,74"
"ALCOA";"US0138171014";"AAn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ALES GROUPE";"FR0000054652";"ALPHY";"NYSE Alternext Paris";"EUR";"13,41";"13,50";"13,41";"13,50";"01/11/2013 17:37";"CET";"6907";"93243,76"
"ALFA LAVAL";"SE0000695876";"ALFAs";"NYSE Arca Europe";"SEK";"145,70";"145,70";"145,70";"145,70";"15/02/2013 10:48";"CET";"103";"15007,10"
"ALGETA";"NO0010239437";"ALGETo";"NYSE Arca Europe";"NOK";"175,50";"175,50";"175,00";"175,00";"06/07/2012 16:57";"CET";"221";"38721,50"
"ALLIANCE TRUST";"GB00B11V7W98";"ATSTl";"NYSE Arca Europe";"GBX";"424,70";"424,70";"424,70";"424,70";"27/06/2013 15:27";"CET";"61";"25906,70"
"ALLIANZ";"DE0008404005";"ALVd";"NYSE Arca Europe";"EUR";"123,55";"123,55";"123,55";"123,55";"01/11/2013 17:27";"CET";"100";"12355,00"
"ALLIED IRISH BANKS";"IE0000197834";"AIBi";"NYSE Arca Europe";"EUR";"0,383";"0,383";"0,383";"0,383";"22/12/2010 10:50";"CET";"500";"-"
"ALLSTATE";"US0200021014";"ALLn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ALMIRALL";"ES0157097017";"ALMe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"NYSE Euronext Paris";"EUR";"15,00";"15,00";"14,85";"14,85";"01/11/2013 17:35";"CET";"4822";"71881,78"
"ALPHA MOS";"FR0000062804";"ALM";"NYSE Euronext Paris";"EUR";"1,15";"1,15";"1,15";"1,15";"01/11/2013 09:00";"CET";"100";"115,00"
"ALSTOM";"FR0010220475";"ALO";"NYSE Euronext Paris";"EUR";"27,55";"27,55";"27,05";"27,065";"01/11/2013 17:35";"CET";"585724";"15927802,39"
"ALTAMIR";"FR0000053837";"LTA";"NYSE Euronext Paris";"EUR";"10,04";"10,08";"9,96";"9,97";"01/11/2013 17:35";"CET";"4559";"45743,47"
"ALTAREA";"FR0000033219";"ALTA";"NYSE Euronext Paris";"EUR";"125,50";"126,75";"125,50";"126,50";"01/11/2013 17:35";"CET";"823";"103910,45"
"ALTAREIT";"FR0000039216";"AREIT";"NYSE Euronext Paris";"EUR";"168,00";"168,00";"168,00";"168,00";"01/11/2013 11:30";"CET";"1";"168,00"
"ALTEN";"FR0000071946";"ATE";"NYSE Euronext Paris";"EUR";"33,42";"33,82";"33,33";"33,56";"01/11/2013 17:35";"CET";"28664";"963234,94"
"ALTRAN TECHN.";"FR0000034639";"ALT";"NYSE Euronext Paris";"EUR";"6,57";"6,59";"6,51";"6,58";"01/11/2013 17:35";"CET";"297387";"1950360,91"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"NYSE Euronext Lisbon";"EUR";"2,40";"2,40";"2,376";"2,376";"01/11/2013 16:35";"GMT";"87224";"208153,67"
"ALTRIA GROUP";"US02209S1033";"MOn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AMADEUS IT HOLD.A";"ES0109067019";"AMSe";"NYSE Arca Europe";"EUR";"24,795";"24,875";"24,795";"24,875";"05/09/2013 14:46";"CET";"332";"8248,10"
"AMAG AUSTRIA METAL";"AT00000AMAG3";"AMAGv";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Marché Libre Paris";"EUR";"1,47";"1,47";"1,47";"1,47";"30/10/2013 15:00";"CET";"240000";"352800,00"
"AMAZON.COM";"US0231351067";"AMZNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AMEC PLC";"GB0000282623";"AMECl";"NYSE Arca Europe";"GBX";"1007,00";"1007,00";"1007,00";"1007,00";"03/07/2013 09:52";"CET";"1";"1007,00"
"AMER SPORTS";"FI0009000285";"AMEASh";"NYSE Arca Europe";"EUR";"9,27";"9,27";"9,27";"9,27";"31/07/2012 15:12";"CET";"127";"1177,29"
"AMER.ELECT.POWER";"US0255371017";"AEPn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AMERICAN EXPRESS";"US0258161092";"AXPn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AMG";"NL0000888691";"AMG";"NYSE Euronext Amsterdam";"EUR";"8,246";"8,249";"7,98";"7,99";"01/11/2013 17:35";"CET";"245506";"1982248,65"
"AMGEN INC";"US0311621009";"AMGNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AMLIN";"GB00B2988H17";"AMLl";"NYSE Arca Europe";"GBX";"392,80";"392,80";"392,80";"392,80";"28/08/2013 15:14";"CET";"496";"194828,80"
"AMPLIFON";"IT0004056880";"AMPm";"NYSE Arca Europe";"EUR";"3,605";"3,605";"3,605";"3,605";"23/02/2012 16:14";"CET";"1000";"3605,00"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"NYSE Euronext Amsterdam";"EUR";"16,45";"16,63";"16,42";"16,50";"01/11/2013 17:35";"CET";"24024";"395988,70"
"ANADARKO PETROLEUM";"US0325111070";"APCn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"AND INTERNATIONAL";"NL0000430106";"AND";"NYSE Euronext Amsterdam";"EUR";"2,40";"2,496";"2,38";"2,38";"01/11/2013 16:55";"CET";"6878";"16734,74"
"ANDREW MACALLISTER";"FR0011040674";"MLAMA";"Marché Libre Paris";"EUR";"4,10";"4,10";"4,10";"4,10";"15/10/2013 15:00";"CET";"1";"4,10"
"ANDRITZ";"AT0000730007";"ANDRv";"NYSE Arca Europe";"EUR";"49,605";"49,605";"49,605";"49,605";"12/12/2012 10:07";"CET";"28";"1388,94"
"ANF IMMOBILIER";"FR0000063091";"ANF";"NYSE Euronext Paris";"EUR";"22,09";"22,48";"21,95";"22,48";"01/11/2013 17:35";"CET";"4988";"110764,71"
"ANGLO AMERICAN";"GB00B1XZS820";"AALl";"NYSE Arca Europe";"GBX";"1817,00";"1910,00";"1817,00";"1909,50";"17/10/2012 17:29";"CET";"3385";"10631273,50"
"ANGLO PACIFIC GRP";"GB0006449366";"APFl";"NYSE Arca Europe";"GBX";"197,50";"197,50";"197,50";"197,50";"22/08/2013 15:21";"CET";"136";"26860,00"
"ANITE PLC";"GB00B3KHXB36";"AIEl";"NYSE Arca Europe";"GBX";"-";"-";"-";"-";"-";"-";"-";"-"
"ANSALDO STS";"IT0003977540";"STSm";"NYSE Arca Europe";"EUR";"7,70";"7,70";"7,70";"7,70";"05/04/2013 11:21";"CET";"300";"2310,00"
"ANTARES CERT";"BE0003676872";"ANT";"NYSE Euronext Brussels";"EUR";"56,50";"56,50";"56,50";"56,50";"01/11/2013 15:00";"CET";"2589";"146278,50"
"ANTEVENIO";"ES0109429037";"ALANT";"NYSE Alternext Paris";"EUR";"3,37";"3,37";"3,26";"3,29";"01/11/2013 17:18";"CET";"1307";"4294,62"
"ANTIGOON INV (D)";"BE0003894145";"ANTG";"Marché Libre Brussels";"EUR";"9,10";"9,10";"9,10";"9,10";"20/09/2013 15:00";"CET";"7";"63,70"
"ANTIPODES VOYAGES";"FR0010968826";"MLANT";"Marché Libre Paris";"EUR";"12,00";"12,00";"12,00";"12,00";"25/10/2013 15:00";"CET";"1";"12,00"
"ANTOFAGASTA";"GB0000456144";"ANTOl";"NYSE Arca Europe";"GBX";"869,50";"869,50";"869,50";"869,50";"23/10/2013 17:08";"CET";"371";"322584,50"
"ANY SEC.PRIN";"HU0000093257";"ANYt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"NYSE Euronext Amsterdam";"USD";"28,76";"28,99";"28,35";"28,40";"01/11/2013 17:35";"CET";"54203";"1152550,35"
"AP MOELLER-MAER. B";"DK0010244508";"MAERBc";"NYSE Arca Europe";"DKK";"49540,00";"49540,00";"49540,00";"49540,00";"04/09/2013 10:55";"CET";"1";"49540,00"
"AP MOELLER-MAERS.A";"DK0010244425";"MAERAc";"NYSE Arca Europe";"DKK";"39760,00";"39760,00";"39760,00";"39760,00";"27/07/2012 16:26";"CET";"1";"39760,00"
"APACHE";"US0374111054";"APAn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"APERAM";"LU0569974404";"APAM";"NYSE Euronext Amsterdam,Paris";"EUR";"12,645";"12,765";"12,29";"12,325";"01/11/2013 17:35";"CET";"455865";"5697422,25"
"APPENINN VAGYONKEZ";"HU0000102132";"APPEet";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"APPLE";"US0378331005";"AAPLn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"APRIL";"FR0004037125";"APR";"NYSE Euronext Paris";"EUR";"15,68";"15,74";"15,62";"15,74";"01/11/2013 17:35";"CET";"1372";"21494,74"
"AQUARIUS PLATINUM";"BMG0440M1284";"AQPl";"NYSE Arca Europe";"GBX";"44,50";"44,50";"44,50";"44,50";"19/07/2013 13:04";"CET";"126";"5607,00"
"AQUILA";"FR0010340711";"ALAQU";"NYSE Alternext Paris";"EUR";"3,54";"3,54";"3,54";"3,54";"31/10/2013 15:30";"CET";"22";"77,88"
"ARCADIS";"NL0006237562";"ARCAD";"NYSE Euronext Amsterdam";"EUR";"23,135";"23,92";"23,125";"23,825";"01/11/2013 17:35";"CET";"231995";"5480665,46"
"ARCANDOR";"DE0006275001";"AROd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ARCELORMITTAL";"LU0323134006";"MT";"NYSE Euronext Amsterdam,Paris";"EUR";"11,64";"11,72";"11,545";"11,605";"01/11/2013 17:35";"CET";"4575919";"53179640,72"
"ARCHOS";"FR0000182479";"JXR";"NYSE Euronext Paris";"EUR";"3,60";"3,64";"3,54";"3,56";"01/11/2013 17:35";"CET";"174738";"626846,83"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Marché Libre Paris";"EUR";"60,00";"60,00";"60,00";"60,00";"29/05/2013 15:00";"CET";"210";"12600,00"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AREVA";"FR0011027143";"AREVA";"NYSE Euronext Paris";"EUR";"17,50";"18,29";"17,44";"17,84";"01/11/2013 17:35";"CET";"224100";"3992550,82"
"ARGAN";"FR0010481960";"ARG";"NYSE Euronext Paris";"EUR";"14,00";"14,00";"13,90";"13,90";"01/11/2013 17:35";"CET";"478";"6681,10"
"ARKEMA";"FR0010313833";"AKE";"NYSE Euronext Paris";"EUR";"83,48";"83,91";"82,04";"83,35";"01/11/2013 17:35";"CET";"116652";"9710448,40"
"ARM HOLDINGS";"GB0000595859";"ARMl";"NYSE Arca Europe";"GBX";"968,00";"968,00";"968,00";"968,00";"28/10/2013 15:58";"CET";"300";"290400,00"
"ARNOLDO MONDADORI";"IT0001469383";"MNm";"NYSE Arca Europe";"EUR";"1,40";"1,40";"1,40";"1,40";"19/03/2012 17:19";"CET";"827";"1157,80"
"ARSEUS (D)";"BE0003874915";"RCUS";"NYSE Euronext Brussels,Amsterdam";"EUR";"22,72";"23,16";"22,72";"23,01";"01/11/2013 17:35";"CET";"45642";"1048415,24"
